type,legacyId,track,challenge_duration,createdBy,updatedBy,day_of_year,challenge_prize,numOfSubmissions
0,30117628,Development,9,high_freq_createdBy,medium_freq_updatedBy,60,100.0,1
1,30116342,Development,9,high_freq_createdBy,high_freq_updatedBy,50,1800.0,1
1,30116496,Development,8,high_freq_createdBy,high_freq_updatedBy,51,2100.0,1
1,30112815,Data Science,31,low_freq_createdBy,high_freq_updatedBy,15,21000.0,1
0,30117192,Development,2,high_freq_createdBy,medium_freq_updatedBy,57,400.0,1
1,30116780,Development,6,high_freq_createdBy,high_freq_updatedBy,53,900.0,1
1,30112410,Data Science,46,medium_freq_createdBy,high_freq_updatedBy,6,1375.0,1
1,30112409,Data Science,46,medium_freq_createdBy,high_freq_updatedBy,6,1375.0,1
0,30117102,Development,10,medium_freq_createdBy,high_freq_updatedBy,56,80.0,1
1,30111695,Data Science,60,medium_freq_createdBy,high_freq_updatedBy,357,1375.0,1
1,30111694,Data Science,60,medium_freq_createdBy,high_freq_updatedBy,357,1375.0,1
1,30116476,Quality Assurance,7,medium_freq_createdBy,high_freq_updatedBy,51,1300.0,1
1,30116212,Development,8,medium_freq_createdBy,high_freq_updatedBy,49,1050.0,1
1,30114365,Design,24,medium_freq_createdBy,medium_freq_updatedBy,34,2000.0,1
1,30116406,Development,8,high_freq_createdBy,high_freq_updatedBy,51,1800.0,1
1,30116382,Development,8,high_freq_createdBy,high_freq_updatedBy,50,1200.0,1
0,30117228,Development,10,high_freq_createdBy,high_freq_updatedBy,57,150.0,1
1,30116150,Development,9,high_freq_createdBy,high_freq_updatedBy,49,1800.0,1
1,30116735,Development,5,medium_freq_createdBy,high_freq_updatedBy,52,2250.0,1
1,30116762,Development,5,medium_freq_createdBy,medium_freq_updatedBy,53,600.0,1
1,30114388,Data Science,22,medium_freq_createdBy,high_freq_updatedBy,35,3500.0,1
1,30115768,Development,12,medium_freq_createdBy,high_freq_updatedBy,45,600.0,1
1,30114809,Data Science,16,low_freq_createdBy,high_freq_updatedBy,37,896.0,1
1,30116087,Development,8,medium_freq_createdBy,high_freq_updatedBy,48,900.0,1
0,30116609,Development,4,high_freq_createdBy,high_freq_updatedBy,52,500.0,1
1,30115709,Data Science,11,medium_freq_createdBy,low_freq_updatedBy,44,2400.0,1
1,30114836,Development,6,high_freq_createdBy,medium_freq_updatedBy,38,2100.0,1
1,30115776,Development,10,medium_freq_createdBy,high_freq_updatedBy,45,1050.0,1
1,30114802,Quality Assurance,7,medium_freq_createdBy,high_freq_updatedBy,37,1300.0,1
0,30116827,Development,1,high_freq_createdBy,medium_freq_updatedBy,54,250.0,1
1,30116128,Development,6,medium_freq_createdBy,high_freq_updatedBy,49,1200.0,1
1,30114893,Development,17,high_freq_createdBy,high_freq_updatedBy,38,3100.0,1
1,30114648,Design,19,medium_freq_createdBy,high_freq_updatedBy,36,1550.0,1
0,30116756,Development,2,medium_freq_createdBy,high_freq_updatedBy,53,100.0,1
1,30115892,Development,8,medium_freq_createdBy,high_freq_updatedBy,46,2100.0,1
1,30114803,Development,13,medium_freq_createdBy,high_freq_updatedBy,37,1839.65,1
0,30116788,Development,1,high_freq_createdBy,medium_freq_updatedBy,53,150.0,1
1,30115666,Development,7,medium_freq_createdBy,high_freq_updatedBy,44,1800.0,1
1,30116001,Development,6,high_freq_createdBy,high_freq_updatedBy,48,2250.0,1
1,30115752,Development,8,medium_freq_createdBy,high_freq_updatedBy,45,2100.0,1
1,30115866,Development,8,medium_freq_createdBy,high_freq_updatedBy,46,1200.0,1
0,30116822,Development,0,high_freq_createdBy,medium_freq_updatedBy,54,100.0,1
0,30116508,Development,10,medium_freq_createdBy,medium_freq_updatedBy,51,150.0,1
1,30115867,Development,8,medium_freq_createdBy,high_freq_updatedBy,46,1200.0,1
0,30116728,Development,0,high_freq_createdBy,medium_freq_updatedBy,52,100.0,1
1,30115262,Development,10,high_freq_createdBy,high_freq_updatedBy,42,1400.0,1
1,30115756,Development,6,medium_freq_createdBy,high_freq_updatedBy,45,1800.0,1
0,30116497,Development,0,high_freq_createdBy,medium_freq_updatedBy,51,150.0,1
0,30115717,Development,10,medium_freq_createdBy,medium_freq_updatedBy,45,500.0,1
1,30112810,Design,29,medium_freq_createdBy,medium_freq_updatedBy,14,3150.0,1
1,30114978,Development,8,medium_freq_createdBy,medium_freq_updatedBy,40,1800.0,1
1,30115523,Development,8,high_freq_createdBy,medium_freq_updatedBy,43,2700.0,1
1,30112922,Data Science,19,low_freq_createdBy,medium_freq_updatedBy,17,6300.0,1
0,30116245,Development,0,high_freq_createdBy,medium_freq_updatedBy,50,300.0,1
0,30116259,Development,0,high_freq_createdBy,medium_freq_updatedBy,50,75.0,1
1,30113382,Development,22,medium_freq_createdBy,high_freq_updatedBy,23,2750.0,1
1,30114766,Data Science,12,medium_freq_createdBy,high_freq_updatedBy,37,5950.0,1
1,30115492,Development,7,high_freq_createdBy,high_freq_updatedBy,43,1500.0,1
0,30115716,Development,4,medium_freq_createdBy,high_freq_updatedBy,45,250.0,1
1,30115489,Development,7,high_freq_createdBy,high_freq_updatedBy,43,900.0,1
1,30115550,Development,5,high_freq_createdBy,high_freq_updatedBy,43,900.0,1
1,30115788,Development,4,high_freq_createdBy,medium_freq_updatedBy,45,4.0,1
0,30115718,Development,10,medium_freq_createdBy,high_freq_updatedBy,45,250.0,1
1,30112926,Design,16,medium_freq_createdBy,medium_freq_updatedBy,17,2750.0,1
1,30114505,Development,8,high_freq_createdBy,medium_freq_updatedBy,35,1500.0,1
0,30115261,Development,6,medium_freq_createdBy,high_freq_updatedBy,41,300.0,1
0,30115951,Development,1,high_freq_createdBy,medium_freq_updatedBy,47,150.0,1
1,30112630,Design,36,medium_freq_createdBy,high_freq_updatedBy,11,2000.0,1
1,30115712,Development,3,high_freq_createdBy,high_freq_updatedBy,44,600.0,1
1,30111693,Data Science,46,medium_freq_createdBy,high_freq_updatedBy,357,1375.0,1
1,30111692,Data Science,46,medium_freq_createdBy,high_freq_updatedBy,357,1375.0,1
1,30110013,Data Science,59,medium_freq_createdBy,high_freq_updatedBy,343,1375.0,1
1,30110012,Data Science,59,medium_freq_createdBy,high_freq_updatedBy,343,1375.0,1
